Institute,Program,Predicted Closing Rank
"Visvesvaraya National Institute of Technology, Nagpur","Computer Science and Engineering (4 Years, B.Tech)",18329
"Visvesvaraya National Institute of Technology, Nagpur","Mechanical Engineering (4 Years, B.Tech)",18329
"Visvesvaraya National Institute of Technology, Nagpur","Civil Engineering (4 Years, B.Tech)",18329
"Visvesvaraya National Institute of Technology, Nagpur","Electrical Engineering (4 Years, B.Tech)",18329
"Visvesvaraya National Institute of Technology, Nagpur","Chemical Engineering (4 Years, B.Tech)",18329
"Visvesvaraya National Institute of Technology, Nagpur","Electrical and Electronics Engineering (4 Years, B.Tech)",18329
"Visvesvaraya National Institute of Technology, Nagpur","Metallurgical and Materials Engineering (4 Years, B.Tech)",18329
"Visvesvaraya National Institute of Technology, Nagpur","Information Technology (4 Years, B.Tech)",18329
"Visvesvaraya National Institute of Technology, Nagpur","Electronics and Communication Engineering (4 Years, B.Tech)",18329
"Visvesvaraya National Institute of Technology, Nagpur","Computer Engineering (4 Years, B.Tech)",18329
"Indian Institute of Engineering Science and Technology, Shibpur","Information Technology (4 Years, B.Tech)",20028
"Indian Institute of Engineering Science and Technology, Shibpur","Metallurgical and Materials Engineering (4 Years, B.Tech)",20028
"Indian Institute of Engineering Science and Technology, Shibpur","Electrical and Electronics Engineering (4 Years, B.Tech)",20028
"Indian Institute of Engineering Science and Technology, Shibpur","Chemical Engineering (4 Years, B.Tech)",20028
"Indian Institute of Engineering Science and Technology, Shibpur","Electrical Engineering (4 Years, B.Tech)",20028
"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering (4 Years, B.Tech)",20028
"Indian Institute of Engineering Science and Technology, Shibpur","Mechanical Engineering (4 Years, B.Tech)",20028
"Indian Institute of Engineering Science and Technology, Shibpur","Computer Engineering (4 Years, B.Tech)",20028
"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Engineering (4 Years, B.Tech)",20028
"Indian Institute of Engineering Science and Technology, Shibpur","Electronics and Communication Engineering (4 Years, B.Tech)",20028
"National Institute of Technology, Rourkela","Electronics and Communication Engineering (4 Years, B.Tech)",20106
"National Institute of Technology, Rourkela","Computer Engineering (4 Years, B.Tech)",20106
"National Institute of Technology, Rourkela","Information Technology (4 Years, B.Tech)",20106
"National Institute of Technology, Rourkela","Metallurgical and Materials Engineering (4 Years, B.Tech)",20106
"National Institute of Technology, Rourkela","Electrical and Electronics Engineering (4 Years, B.Tech)",20106
"National Institute of Technology, Rourkela","Chemical Engineering (4 Years, B.Tech)",20106
"National Institute of Technology, Rourkela","Electrical Engineering (4 Years, B.Tech)",20106
"National Institute of Technology, Rourkela","Civil Engineering (4 Years, B.Tech)",20106
"National Institute of Technology, Rourkela","Computer Science and Engineering (4 Years, B.Tech)",20106
"National Institute of Technology, Rourkela","Mechanical Engineering (4 Years, B.Tech)",20106
"Sardar Vallabhbhai National Institute of Technology, Surat","Information Technology (4 Years, B.Tech)",21078
"Sardar Vallabhbhai National Institute of Technology, Surat","Computer Science and Engineering (4 Years, B.Tech)",21078
